1,8588.0
2,6363.0
3,5722.0
4,5722.0
5,5722.0
6,5722.0
7,5722.0
8,5546.0
9,5546.0
10,5522.0
11,5522.0
12,5403.0
13,5391.0
14,5391.0
15,5391.0
16,5391.0
17,5391.0
18,5391.0
19,5391.0
20,5391.0
21,5389.0
22,5389.0
23,5323.0
24,5323.0
25,5323.0
26,5323.0
27,5323.0
28,5323.0
29,5157.0
30,5157.0
31,5157.0
32,5157.0
33,5157.0
34,4907.0
35,4907.0
36,4907.0
37,4907.0
38,4803.0
39,4803.0
40,4803.0
41,4778.0
42,4778.0
43,4778.0
44,4778.0
45,4778.0
46,4778.0
47,4778.0
48,4778.0
49,4778.0
50,4778.0
51,4778.0
52,4778.0
53,4778.0
54,4778.0
55,4778.0
56,4778.0
57,4778.0
58,4778.0
59,4778.0
60,4778.0
61,4778.0
62,4778.0
63,4778.0
64,4778.0
65,4778.0
66,4778.0
67,4778.0
68,4778.0
69,4778.0
70,4778.0
71,4778.0
72,4778.0
73,4778.0
74,4778.0
75,4778.0
76,4778.0
77,4778.0
78,4778.0
79,4778.0
80,4778.0
81,4778.0
82,4778.0
83,4778.0
84,4778.0
85,4778.0
86,4778.0
87,4778.0
88,4778.0
89,4778.0
90,4778.0
91,4778.0
92,4778.0
93,4778.0
94,4778.0
95,4778.0
96,4721.0
97,4721.0
98,4721.0
99,4721.0
